,text,label,stemmed_text,label_angka
38,anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan harus disampaikan teman lainnya sudah saatnya adu ide amp gagasantunjukan karyakarya pak anies perubahan indonesia lebih baik,Ideologi,anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan harus sampai teman lain sudah saat adu ide amp gagasantunjukan karyakarya pak anies ubah indonesia lebih baik,2
39,pak aniess post has reached 26000 likes and 1350573 on dialog capres kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members,Sosial Budaya,pak aniess post has reached 26000 likes and 1350573 on dialog capres kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members,1
40,according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,Pertahanan dan Keamanan,according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a mister of defense,3
41,kejam warga disitu bersedia dibangun jis janji anies utk memabngun rumah susun rumah terbangun mereka tidak diberikan haknya padahal anies selaku gubernur sll menepati janjinya kampung akuarium kampung kunir apa salah rakyat mendapat rumah,Sosial Budaya,kejam warga situ sedia bangun jis janji anies utk memabngun rumah susun rumah bangun mereka tidak beri hak padahal anies selaku gubernur sll tepat janji kampung akuarium kampung kunir apa salah rakyat dapat rumah,1
42,prabowo gibran terapkan 17 program untuk melancarkan ekonomi biru internasional kontan,Ekonomi,prabowo gibran terap 17 program untuk lancar ekonomi biru internasional kontan,4
43,viral anies baswedan ancaman penembakan tim hukum amin siap tempuh jalur hukum,Pertahanan dan Keamanan,viral anies baswedan ancam tembak tim hukum amin siap tempuh jalur hukum,3
44,kasihan pendukung prabowo dibela belain masuk penjara diakui,Politik,kasihan dukung prabowo bela bain masuk penjara aku,0
45,tempodotco ayo ganjar tuntaskan permasalahan ada indonesia bisa m3nang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik,tempodotco ayo ganjar tuntas masalah ada indonesia bisa m3nang semuakerja ganjar mahfud hebat ayahbowo adalahkita,0
46,wiranto langsung bergerak cepat memberikan dukungan prabowo gibran,Politik,wiranto langsung gerak cepat beri dukung prabowo gibran,0
47,gua beneran sedih banget ya orang tuh susah menerima fakta kalo prabowo war criminal zionist kek theres so many possibilities kalo beliau kepilih bakal regress demokrasi bakal lebih otoriter bahkan banyak menteri progresif pasti didepak,Politik,gua beneran sedih banget ya orang tuh susah terima fakta kalo prabowo war criminal zionist kek theres so many possibilities kalo beliau pilih bakal regress demokrasi bakal lebih otoriter bahkan banyak menteri progresif pasti depak,0
48,lautan manusia sambut capres nomor urut 1 anies baswedan laksanakan giat kampanye bone sulawesi selatan sulsel rabu 1712024 anies bertemu masyarakat bone lapangan sepak bola cina kampanye kali cukup spesial lantaran ditemani eks wakil presiden jusuf kalla melihat lautan manusia antusias menyapa anies pun membuat merasa takjub menegaskan uang dapat mengobarkan semangat ini simak berita selengkapnya,Politik,laut manusia sambut capres nomor urut 1 anies baswedan laksana giat kampanye bone sulawesi selatan sulsel rabu 1712024 anies temu masyarakat bone lapang sepak bola cina kampanye kali cukup spesial lantar tani eks wakil presiden jusuf kalla lihat laut manusia antusias sapa anies pun buat rasa takjub tegas uang dapat obar semangat ini simak berita lengkap,0
49,baru kali ada capres mau peluk orang papua mencium tangan anakanak papua biar rakyat menilai ngaruh tetap all in prabowo istirahat anies deserve better,Politik,baru kali ada capres mau peluk orang papua cium tangan anakanak papua biar rakyat nilai ngaruh tetap all in prabowo istirahat anies deserve better,0
50,sudah yakin vote aniesmuhaimin 14 februari 2024 silahkan retweet,Politik,sudah yakin vote aniesmuhaimin 14 februari 2024 silah retweet,0
51,data manaaaaa data lahan pak prabowo bagian rahasia pertahanan index peringkat dibaca pak ganjar itu rahasia pertahanan astagaaaa,Pertahanan dan Keamanan,data manaaaaa data lahan pak prabowo bagi rahasia tahan index peringkat baca pak ganjar itu rahasia tahan astagaaaa,3
52,video direkam 5 april 2014 acara mengadili anies jadi presiden cita cita anies value pikiran dibawa gagasan pak anies memang pemikiran seorang negarawan dulu jarang dengar pemikiran2 macam beliau dinegeri guys,Politik,video rekam 5 april 2014 acara adil anies jadi presiden cita cita anies value pikir bawa gagas pak anies memang pikir orang negarawan dulu jarang dengar pemikiran2 macam beliau negeri guys,0
53,pak ganjar prof mahfud memperoleh dukungan luas keberanian dalam menghadapi dinamika g3opolitik tidak terduga,Politik,pak ganjar prof mahfud oleh dukung luas berani dalam hadap dinamika g3opolitik tidak duga,0
54,ungkap tanah bob hasan dimiliki prabowo,Politik,ungkap tanah bob hasan milik prabowo,0
55,sekarang bawaslu malah terkesan membenarkan kegiatan paslon 2 kunjungan prabowo cilincing diwarnai bagi2 uang 100rb dianggap kunjungan menhan bawaslu terserah klean lah,Politik,sekarang bawaslu malah kes benar giat paslon 2 kunjung prabowo cilincing warna bagi2 uang 100rb anggap kunjung menhan bawaslu serah klean lah,0
56,pak prabowo tipe seseorang lebih suka menunjukkan bukti kinerjanya sekedar omong kosong belaka,Politik,pak prabowo tipe orang lebih suka tunjuk bukti kerja dar omong kosong belaka,0
57,jawaban pak anies luar prediksiulama madura jawa timur terkagum kagum pak anies bahkan ulama madura bernama bapak kyai fattah mengaku kalah menyimak jawaban pak anies acara cifp 2023 lalu,Politik,jawab pak anies luar prediksiulama madura jawa timur kagum kagum pak anies bahkan ulama madura nama bapak kyai fattah aku kalah simak jawab pak anies acara cifp 2023 lalu,0
58,nelayan butuh tindakan nyata ganjar pranowo mahfud md bersama hadirkan solusi terbaik,Politik,nelayan butuh tindak nyata ganjar pranowo mahfud md sama hadir solusi baik,0
59,sewaktu anies bersikap kritis kinerja pak prabowo dianggap engga sopan dianggap kurang menghormati orang tua giliran sekarang gibran tengil sok kritis malah dianggap kritis keras ini standar ganda,Politik,waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir sekarang gibran tengil sok kritis malah anggap kritis keras ini standar ganda,0
60,ganjar pranowo tindakan positifnya menunjukkan keberaniannya menjaga keamanan nasional mendukung cyber force,Pertahanan dan Keamanan,ganjar pranowo tindak positif tunjuk berani jaga aman nasional dukung cyber force,3
61,batam hari pecah suasana pasar tos 3000 batam pak anies baswedan berkunjung warga menyambut meneriakkan anies presiden,Politik,batam hari pecah suasana pasar tos 3000 batam pak anies baswedan kunjung warga sambut teriak anies presiden,0
62,bukan cuma debat semalam pak mau buka2an imformasi pertahanan di rdp komisi i dpr beliau menolak rapat terbuka bertahan spy rapat tertutup ngadepin 2 capres sok tahu mungkin dibuka,Pertahanan dan Keamanan,bukan cuma debat malam pak mau buka2an imformasi tahan di rdp komisi i dpr beliau tolak rapat buka tahan spy rapat tutup ngadepin 2 capres sok tahu mungkin buka,3
63,anies prestasinya jakarta banyak sekali gemilang walaupun didukung pemerintah pusat cenderung dihambat kenapa framing jahat anies bisa kerja,Politik,anies prestasi jakarta banyak sekali gemilang walaupun dukung perintah pusat cenderung hambat kenapa framing jahat anies bisa kerja,0
64,konsisten selama bersuara melawan radikalisme intoleransi pilih prabowo ternyata cuma omon omon dianggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribuan masyarakat lintas etnis sekalimantan barat berkumpul hotel golden tulip pontianak rabu 3112014 perwakilan tokoh dayak tionghoa papua jawa minang batak madura lainnya selamat datang kota khatulistiwa pak ganjar sangat bangga bapak datang sini ucap beberapa tokoh adat etnis menyambut ganjar ketua dewan pembina dewan adat daerah dad kalbar juga ketua tim pemenangan daerah tpd ganjar mahfud kalbar lazarus mengatakan masyarakat kalbar sangat antusias menyambut ganjar kehadiran tokoh ketua organisasi etnis tempat menjadi bukti sepakat mendukung ganjar mahfud semua tokoh adat berkumpul sini mewakili seluruh organisasi kelompok etnis adat kalimantan barat semua mendukung pak ganjar siap memenangkan bapak kalbar ucap lazarus disambut teriakan kompak ribuan masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak mereka kompak seorang tokoh adat dayak henusa mengatakan masyarakat lintas etnis kalbar kompak mendukung ganjar ia dianggap tokoh paling toleran selama menjadi anggota dpr ri gubernur jateng periode ganjar melakukan harmonisasi itulah mengidolakan mendukung pak ganjar menjadi presiden 2024 tangan beliau kasuskasus intoleransi indonesia dihilangkan ucapnya itu ganjar menyambut baik dukungan masyarakat lintas etnis kalbar mengucapkan terima kasih menurutnya apapun hasil pilpres mendatang toleransi indonesia terus terjaga kalbar contoh daerah paling toleran mana di kalbar satu kota dinobatkan kota paling toleran seindonesia singkawang ucapnya,Demografi,konsisten lama suara lawan radikalisme intoleransi pilih prabowo nyata cuma omon omon anggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribu masyarakat lintas etnis sekalimantan barat kumpul hotel golden tulip pontianak rabu 3112014 wakil tokoh dayak tionghoa papua jawa mang batak madura lain selamat datang kota khatulistiwa pak ganjar sangat bangga bapak datang sini ucap beberapa tokoh adat etnis sambut ganjar ketua dewan bina dewan adat daerah dad kalbar juga ketua tim menang daerah tpd ganjar mahfud kalbar lazarus kata masyarakat kalbar sangat antusias sambut ganjar hadir tokoh ketua organisasi etnis tempat jadi bukti sepakat dukung ganjar mahfud semua tokoh adat kumpul sini wakil seluruh organisasi kelompok etnis adat kalimantan barat semua dukung pak ganjar siap menang bapak kalbar ucap lazarus sambut ria kompak ribu masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak mereka kompak orang tokoh adat dayak henusa kata masyarakat lintas etnis kalbar kompak dukung ganjar ia anggap tokoh paling toleran lama jadi anggota dpr ri gubernur jateng periode ganjar laku harmonisasi itu idola dukung pak ganjar jadi presiden 2024 tangan beliau kasuskasus intoleransi indonesia hilang ucap itu ganjar sambut baik dukung masyarakat lintas etnis kalbar ucap terima kasih turut apa hasil pilpres datang toleransi indonesia terus jaga kalbar contoh daerah paling toleran mana di kalbar satu kota nobat kota paling toleran indonesia singkawang ucap,6
65,koneksi internet menjadi kebutuhan pokok masyarakat indonesia menjalankan aktivitas seharihari paslon ganjar ganjarmahfud menegaskan komitmennya menghadirkan internet kuat cepat murah seluruh masyarakat indonesia,Ekonomi,koneksi internet jadi butuh pokok masyarakat indonesia jalan aktivitas seharihari paslon ganjar ganjarmahfud tegas komitmen hadir internet kuat cepat murah seluruh masyarakat indonesia,4
66,jaua suparna baru tahu anies s1 nya fakultas ekonomi s2 nya kebijakkan keuangan s3 nya political ekonomi amp pembangunan,Ekonomi,jaua suparna baru tahu anies s1 nya fakultas ekonomi s2 nya bijak uang s3 nya political ekonomi amp bangun,4
67,isu palestina penting prabowo ada keberpihakan amp kepedulian menegakkan konstitusi makin kelihatan watak aslinya,Politik,isu palestina penting prabowo ada pihak amp peduli tegak konstitusi makin lihat watak asli,0
68,acara mulai pendukung anies ramaikan lokasi kampanye,Politik,acara mulai dukung anies ramai lokasi kampanye,0
69,terpenting saat harus menjadi bangsa yang selalu bersyukur prabowo gibran,Politik,penting saat harus jadi bangsa yang selalu syukur prabowo gibran,0
70,membutuhkan penjaga tni al kuat mengibarkan merah putih menegakkan kedaulatan negara kata menhan prabowo,Pertahanan dan Keamanan,butuh jaga tni al kuat kibar merah putih tegak daulat negara kata menhan prabowo,3
71,kinerja pak prabowo bukan fokus modernisasi alutsista beliau dinilai mendorong perkembangan industri pertahanan negeri lho,Pertahanan dan Keamanan,kerja pak prabowo bukan fokus modernisasi alutsista beliau nilai dorong kembang industri tahan negeri lho,3
72,mau cuma sebatas wacana mending sudah punya langkah nyata kayak pasangan ganjar pranowo mahfud md,Politik,mau cuma batas wacana mending sudah punya langkah nyata kayak pasang ganjar pranowo mahfud md,0
73,uvsdec4fpmwdnpq1ojaod2ou,Sosial Budaya,uvsdec4fpmwdnpq1ojaod2ou,1
74,duo bapak bangsa ganjar pranowo prof mahfud punya program bisa bikin indonesia lebih baik yuk pilih bawa solusi nyataganjarmahfud taat hukum,Politik,duo bapak bangsa ganjar pranowo prof mahfud punya program bisa bikin indonesia lebih baik yuk pilih bawa solusi nyataganjarmahfud taat hukum,0
75,menkominfo budi arie bela prabowo sebut data pertahanan bersifat rahasia,Pertahanan dan Keamanan,menkominfo budi arie bela prabowo sebut data tahan sifat rahasia,3
76,anies jelas referensinya jkw kata capres prabowo diajarkan seluruh rakyat indonesia kata tolol janji mengembalikan tanah dari 2019 sekarang bilang yang sama,Politik,anies jelas referensi jkw kata capres prabowo ajar seluruh rakyat indonesia kata tolol janji kembali tanah dari 2019 sekarang bilang yang sama,0
77,calon presiden ri no urut 3 ganjar pranowo mainmain menjaga konstitusi aturan dasar negara kenapa bisa percaya padanya,Ideologi,calon presiden ri no urut 3 ganjar pranowo mainmain jaga konstitusi atur dasar negara kenapa bisa percaya pada,2
78,itu gibran mengatakan sejumlah permasalahan seperti pupuk internet jalan berlubang prabowo gibran,Politik,itu gibran kata jumlah masalah seperti pupuk internet jalan lubang prabowo gibran,0
79,menghadiri tantangan kpk menyampaikan komitmennya pemberantasan korupsi indonesia 2024 majalengka majalengka beiqnh5xqr ganjar mahfud hebat,Politik,hadir tantang kpk sampai komitmen berantas korupsi indonesia 2024 majalengka majalengka beiqnh5xqr ganjar mahfud hebat,0
80,capres ganjar pranowo yakin konstitusi aturan dasar negara dasar keadilan harus dipegang teguh,Ideologi,capres ganjar pranowo yakin konstitusi atur dasar negara dasar adil harus pegang teguh,2
81,jadi anies baswedan proxy us didukung yaman fpi abu bakar baasyir freemason mau bangun khilafah disupport kader nu muhamadiyah enggak lupa dukungan komunitas pecinta perkutut berkolaborasi sjw feminism masmas rohis celana cingkrang kpoper,Ideologi,jadi anies baswedan proxy us dukung yaman fpi abu bakar baasyir freemason mau bangun khilafah disupport kader nu muhamadiyah enggak lupa dukung komunitas cinta perkutut kolaborasi sjw feminism masmas roh celana cingkrang kpoper,2
82,pilih capres ganjar pranowo keren jangan pilih pemimpin sulit mengendalikan emosi hal dapat menciptakan ketidakpastian kalangan masyarakat jn18a,Politik,pilih capres ganjar pranowo keren jangan pilih pimpin sulit kendali emosi hal dapat cipta ketidakpastian kalang masyarakat jn18a,0
83,anies berprestasi nasional maupun internasional lihat video prestasi prabowo korupsi food estate amp anggaran kemenhan prabowo singgung banyak orang pandai bicara belum bisa kerja sindir anies,Politik,anies prestasi nasional maupun internasional lihat video prestasi prabowo korupsi food estate amp anggar kemenhan prabowo singgung banyak orang pandai bicara belum bisa kerja sindir anies,0
84,capres nomor urut 1 anies baswedan menjelaskan mengenai pergeseran menuju substitusi import mengatakan memastikan tersebut terjaga anies baswedan mengatakan harus menyiapkan ekosistem industri tidak menjadi pasar konsumsi menjadi sentra produksi global diharapkan muncul kegiatan ekspor perihal tingkat komponen dalam negeri anies mengatakan harus ditingkatkan bertahap simak video selengkapnya nantikan juga live eksklusif dialog capres bersama kadin sesi iii prabowo subianto jumat 12 januari 2024 pkl 09301130 wib live tvone live streaming di youtube tvonenews,Ekonomi,capres nomor urut 1 anies baswedan jelas kena geser tuju substitusi import kata pasti sebut jaga anies baswedan kata harus siap ekosistem industri tidak jadi pasar konsumsi jadi sentra produksi global harap muncul giat ekspor perihal tingkat komponen dalam negeri anies kata harus tingkat tahap simak video lengkap nanti juga live eksklusif dialog capres sama kadin sesi iii prabowo subianto jumat 12 januari 2024 pkl 09301130 wib live tvone live streaming di youtube tvonenews,4
85,momen capres nomor urut 3 ganjar pranowo besuk relawannya korban penganiayaan oknum tni boyolali tak bertanya kondisi bertanya kronologi kejadian hingga relawan pendukungnya dipukuli pun meminta aparat keamanan termasuk institusi tni menangani kejadian,Pertahanan dan Keamanan,momen capres nomor urut 3 ganjar pranowo besuk rawan korban aniaya oknum tni boyolali tak tanya kondisi tanya kronologi jadi hingga rawan dukung pukul pun minta aparat aman masuk institusi tni tangan jadi,3
86,palestina tindas punya kekuatan militer palestina lemah ksh buku mau biar paham vatikan punya kekuatan militer ada berani tindas analogi bukan kekuatan militer pak palestina tidak lemah tidak pernah lemah dilemahkan sistem kampret di mana pbb sekarang diam terjadi genosida pelanggaran ham berat berani nuntut di den haag afrika selatan,Pertahanan dan Keamanan,palestina tindas punya kuat militer palestina lemah ksh buku mau biar paham vatikan punya kuat militer ada berani tindas analogi bukan kuat militer pak palestina tidak lemah tidak pernah lemah lemah sistem kampret di mana pbb sekarang diam jadi genosida langgar ham berat berani nuntut di den haag afrika selatan,3
87,rstmbcl bersama santri riang gembira 2024 ganjar mahfud md ganjarmahfud2024 jauhi dusta amp emosional ganjar mahfud hebat sikat kkn,Politik,rstmbcl sama santri riang gembira 2024 ganjar mahfud md ganjarmahfud2024 jauh dusta amp emosional ganjar mahfud hebat sikat kkn,0
88,media asing the new york times tulis prabowo menang demokrasi indonesia mati,Politik,media asing the new york times tulis prabowo menang demokrasi indonesia mati,0
89,kebersamaan perbedaan solid mendukung ganjar pranowo mahfud md pilihan terbaik pilpres 2024,Politik,sama beda solid dukung ganjar pranowo mahfud md pilih baik pilpres 2024,0
90,jadi inget video sudah pernah lihat perhatikan tangan pak anies mungkin buat sebagian orang mah biasa ya hal2 kecil begini yang bikin,Politik,jadi inget video sudah pernah lihat perhati tangan pak anies mungkin buat bagi orang mah biasa ya hal2 kecil begini yang bikin,0
91,anies baswedan mas prabowo punya wawasan capres ganjar pranowo punya prestasi nyata bisa dilihat pilih pemimpin berdasarkan hasil kerjajn19x6,Politik,anies baswedan mas prabowo punya wawas capres ganjar pranowo punya prestasi nyata bisa lihat pilih pimpin dasar hasil kerjajn19x6,0
92,pemikiran terkait program makan siang gratis subsidi susu upaya politik prabowo dinilai berpotensi merugikan keuangan negara mengorbankan sektor pendidikan bantuan sosial,Politik,pikir kait program makan siang gratis subsidi susu upaya politik prabowo nilai potensi rugi uang negara korban sektor didik bantu sosial,0
